GlobalEventID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	Dateadded	Sourceurl
904208551	20200206	202002	2020	2020.0986	AFR	AFRICA	AFR								ZAF	SOUTH AFRICAN	ZAF								0	051	051	05	1	3.4	2	1	2	-3.15789473684211	4	False Bay, KwaZulu-Natal, South Africa	SF	SF02	77335	-27.9777	32.3979	-1228068	4	False Bay, KwaZulu-Natal, South Africa	SF	SF02	77335	-27.9777	32.3979	-1228068	4	False Bay, KwaZulu-Natal, South Africa	SF	SF02	77335	-27.9777	32.3979	-1228068	20200206143000	https://www.newsweek.com/great-white-shark-surrounded-killer-whale-1486048
904208552	20200206	202002	2020	2020.0986	AFR	AFRICA	AFR								ZAF	SOUTH AFRICAN	ZAF								0	051	051	05	1	3.4	1	1	1	1.05960264900662	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20200206143000	https://www.itnewsafrica.com/2014/08/mtn-builds-momentum-throughout-africa/
904208553	20200206	202002	2020	2020.0986	AFR	AFRICA	AFR								ZAF	SOUTH AFRICAN	ZAF								0	051	051	05	1	3.4	1	1	1	1.05960264900662	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	20200206143000	https://www.itnewsafrica.com/2014/08/mtn-builds-momentum-throughout-africa/
904208554	20200206	202002	2020	2020.0986	AFR	AFRICA	AFR								ZMB	ZAMBIAN	ZMB								1	020	020	02	1	3.0	1	1	1	-4.71698113207547	4	Copperbelt, Eastern, Zambia	ZA	ZA06	14982	-12	27	-2282442	4	Copperbelt, Eastern, Zambia	ZA	ZA06	14982	-12	27	-2282442	4	Copperbelt, Eastern, Zambia	ZA	ZA06	14982	-12	27	-2282442	20200206143000	https://uk.news.yahoo.com/zambia-want-students-repatriated-china-135233289.html
904208555	20200206	202002	2020	2020.0986	AFR	AFRICA	AFR								ZMB	ZAMBIAN	ZMB								1	020	020	02	1	3.0	1	1	1	-4.71698113207547	4	Shanxi, Fujian, China	CH	CH07	13167	26.9512	116.692	10771269	4	Shanxi, Fujian, China	CH	CH07	13167	26.9512	116.692	10771269	4	Shanxi, Fujian, China	CH	CH07	13167	26.9512	116.692	10771269	20200206143000	https://uk.news.yahoo.com/zambia-want-students-repatriated-china-135233289.html
904208556	20200206	202002	2020	2020.0986	AFR	AFRICA	AFR								ZMBGOV	ZAMBIAN	ZMB					GOV			1	020	020	02	1	3.0	3	1	3	-4.71698113207547	4	Copperbelt, Eastern, Zambia	ZA	ZA06	14982	-12	27	-2282442	4	Copperbelt, Eastern, Zambia	ZA	ZA06	14982	-12	27	-2282442	4	Copperbelt, Eastern, Zambia	ZA	ZA06	14982	-12	27	-2282442	20200206143000	https://uk.news.yahoo.com/zambia-want-students-repatriated-china-135233289.html
904208557	20200206	202002	2020	2020.0986	AFRBUS	AFRICA	AFR					BUS			BUS	BUSINESS						BUS			1	073	073	07	2	7.4	2	1	2	-1.35593220338983	5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	20200206143000	https://www.ch-aviation.com/portal/news/85954
904208558	20200206	202002	2020	2020.0986	AFRBUS	AFRICA	AFR					BUS			BUS	BUSINESS						BUS			1	073	073	07	2	7.4	4	1	4	4.50450450450451	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20200206143000	http://www.702.co.za/articles/374178/placing-sa-express-under-business-rescue-good-for-employees-solidarity
904208559	20200206	202002	2020	2020.0986	AGR	FARMER						AGR													1	071	071	07	2	7.4	10	1	10	-2.40641711229947	2	Texas, United States	US	USTX		31.106	-97.6475	TX	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	20200206143000	http://thepampanews.com/agriculture/mission-critical-contact-usda-farm-service-agency-now-enroll-key-safety-net-programs-%e2%80%93
904208560	20200206	202002	2020	2020.0986	ARE	UNITED ARAB EMIRATES	ARE								PAK	PAKISTAN	PAK								1	017	017	01	1	0.0	6	1	6	2.5879917184265	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	4	Tharparkar, Sindh, Pakistan	PK	PK05	17837	24.8208	70.18	-2776052	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	20200206143000	https://gulfnews.com/world/asia/pakistan/pakistan-prepares-to-hold-a-major-hindu-festival--maha-shivartari-from-february-20-1.69531510
904208561	20200206	202002	2020	2020.0986	ARE	DUBAI	ARE								PAK	PAKISTAN	PAK								1	017	017	01	1	0.0	2	1	2	2.5879917184265	4	Tharparkar, Sindh, Pakistan	PK	PK05	17837	24.8208	70.18	-2776052	4	Tharparkar, Sindh, Pakistan	PK	PK05	17837	24.8208	70.18	-2776052	4	Tharparkar, Sindh, Pakistan	PK	PK05	17837	24.8208	70.18	-2776052	20200206143000	https://gulfnews.com/world/asia/pakistan/pakistan-prepares-to-hold-a-major-hindu-festival--maha-shivartari-from-february-20-1.69531510
904208562	20200206	202002	2020	2020.0986	ARE	DUBAI	ARE								PAKHIN	PAKISTANI	PAK			HIN					1	017	017	01	1	0.0	2	1	2	2.5879917184265	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	20200206143000	https://gulfnews.com/world/asia/pakistan/pakistan-prepares-to-hold-a-major-hindu-festival--maha-shivartari-from-february-20-1.69531510
904208563	20200206	202002	2020	2020.0986	ATH	ATHEIST				ATH															1	010	010	01	1	0.0	20	1	10	1.25482625482626	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20200206143000	https://blogs.psychcentral.com/single-at-heart/2020/02/what-do-we-know-about-the-single-people-and-others-who-are-not-religious/
904208564	20200206	202002	2020	2020.0986	AUS	VICTORIA	AUS																		1	042	042	04	1	1.9	6	1	6	4.62046204620462	4	Vancouver Island, British Columbia, Canada	CA	CA02	190729	49.6667	-125.833	-575271	0								4	Vancouver Island, British Columbia, Canada	CA	CA02	190729	49.6667	-125.833	-575271	20200206143000	https://people.com/royals/meghan-markle-and-prince-harry-to-spend-time-in-l-a-this-summer-they-are-looking-at-houses/
904208565	20200206	202002	2020	2020.0986	AUS	VICTORIA	AUS								CAN	CANADA	CAN								1	042	042	04	1	1.9	4	1	4	4.62046204620462	4	Vancouver Island, British Columbia, Canada	CA	CA02	190729	49.6667	-125.833	-575271	4	Vancouver Island, British Columbia, Canada	CA	CA02	190729	49.6667	-125.833	-575271	4	Vancouver Island, British Columbia, Canada	CA	CA02	190729	49.6667	-125.833	-575271	20200206143000	https://people.com/royals/meghan-markle-and-prince-harry-to-spend-time-in-l-a-this-summer-they-are-looking-at-houses/
904208566	20200206	202002	2020	2020.0986	AUS	AUSTRALIAN	AUS								CRM	CRIMINAL						CRM			0	012	012	01	1	-0.4	10	1	10	-8.05369127516779	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20200206143000	https://www.adelaidenow.com.au/news/south-australia/criminals-turns-to-submachine-guns-keyring-guns-and-pen-guns/news-story/ea047cdab95b4a7f3b92660ce2c0f25d?nk=a65daaa66ba1e4cedb71eaac9e8b0b30-1580998652
904208567	20200206	202002	2020	2020.0986	AUS	AUSTRALIA	AUS								LTU	LITHUANIAN	LTU								1	051	051	05	1	3.4	4	1	4	-0.28409090909091	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	1	Lithuania	LH	LH		56	24	LH	1	Lithuania	LH	LH		56	24	LH	20200206143000	https://www.heraldsun.com.au/news/victoria/melbournes-lithuanian-community-celebrates-special-day-for-zeppelinshaped-potato-dumplings/news-story/e18cb9f7ee56c22e7919b56ee4dabf00?nk=bfd1251f169303505007c989604519eb-1580998719
904208568	20200206	202002	2020	2020.0986	AUS	AUSTRALIA	AUS								LTU	LITHUANIAN	LTU								1	051	051	05	1	3.4	1	1	1	-0.28409090909091	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	Russia	RS	RS		60	100	RS	20200206143000	https://www.heraldsun.com.au/news/victoria/melbournes-lithuanian-community-celebrates-special-day-for-zeppelinshaped-potato-dumplings/news-story/e18cb9f7ee56c22e7919b56ee4dabf00?nk=bfd1251f169303505007c989604519eb-1580998719
904208569	20200206	202002	2020	2020.0986	AUS	MURRAY	AUS								USA	UNITED STATES	USA								1	130	130	13	3	-4.4	2	1	2	-5.56117290192113	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	3	Dekalb, Mississippi, United States	US	USMS	MS069	32.7676	-88.6509	669159	3	Dekalb, Mississippi, United States	US	USMS	MS069	32.7676	-88.6509	669159	20200206143000	https://www.cbs46.com/news/live-updates-tornado-watch/article_58b943c6-48c3-11ea-8645-07159ea7d7dc.html
904208570	20200206	202002	2020	2020.0986	AZE	AZERBAIJANI	AZE								AZEGOV	AZERBAIJAN	AZE					GOV			1	040	040	04	1	1.0	1	1	1	2.29885057471264	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	20200206143000	https://www.azernews.az/nation/161413.html
904208571	20200206	202002	2020	2020.0986	AZE	AZERBAIJANI	AZE								TUR	TURKISH	TUR								1	018	018	01	1	3.4	2	1	2	-7.52688172043011	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	20200206143000	https://www.azernews.az/nation/161433.html
904208572	20200206	202002	2020	2020.0986	AZE	AZERBAIJANI	AZE								TUR	TURKISH	TUR								1	018	018	01	1	3.4	2	1	2	-7.52688172043011	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20200206143000	https://www.azernews.az/nation/161433.html
904208573	20200206	202002	2020	2020.0986	AZE	AZERBAIJAN	AZE								TURGOV	TURKEY	TUR					GOV			1	040	040	04	1	1.0	1	1	1	2.29885057471264	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	1	Turkey	TU	TU		39.059012	34.911546	TU	20200206143000	https://www.azernews.az/nation/161413.html
904208574	20200206	202002	2020	2020.0986	AZE	BAKU	AZE								TURGOV	TURKISH	TUR					GOV			1	040	040	04	1	1.0	2	1	2	2.29885057471264	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	1	Turkey	TU	TU		39.059012	34.911546	TU	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	20200206143000	https://www.azernews.az/nation/161413.html
