GlobalEventID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	Dateadded	Sourceurl
903848068	20200205	202002	2020	2020.0959	EST	ESTONIA	EST								USA	UNITED STATES	USA								1	036	036	03	1	4.0	3	1	3	0	1	Estonia	EN	EN		59	26	EN	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	1	Estonia	EN	EN		59	26	EN	20200205053000	https://www.coe.int/en/web/human-rights-rule-of-law/-/311th-session-of-the-european-committee-of-social-rights-adoption-of-conclusions-2019
903848069	20200205	202002	2020	2020.0959	ETH	ETHIOPIA	ETH																		1	043	043	04	1	2.8	10	1	10	4.87804878048781	1	Ethiopia	ET	ET		8	38	ET	0								1	Ethiopia	ET	ET		8	38	ET	20200205053000	https://www.who.com.au/ashley-graham-names-newborn-son-isaac-meaning-behind-it
903848070	20200205	202002	2020	2020.0959	EUR	EUROPEAN	EUR								CVL	SETTLEMENT						CVL			1	010	010	01	1	0.0	5	1	5	-3.44115622849278	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20200205053000	https://www.mondaq.com/Article/890322
903848071	20200205	202002	2020	2020.0959	EUR	EUROPEAN	EUR								DEU	GERMANY	DEU								1	057	057	05	1	8.0	5	1	5	-0.22556390977443	1	Poland	PL	PL		52	20	PL	1	Poland	PL	PL		52	20	PL	1	Poland	PL	PL		52	20	PL	20200205053000	https://isnblog.ethz.ch/defense/pesco-two-years-later
903848072	20200205	202002	2020	2020.0959	FIN	FINNISH	FIN																		0	020	020	02	1	3.0	3	1	3	-0.22556390977443	1	Poland	PL	PL		52	20	PL	0								1	Poland	PL	PL		52	20	PL	20200205053000	https://isnblog.ethz.ch/defense/pesco-two-years-later
903848073	20200205	202002	2020	2020.0959	FRA	FRANCE	FRA																		1	020	020	02	1	3.0	2	1	2	-2.73381294964029	1	France	FR	FR		46	2	FR	0								4	Hubei, Guangdong, China	CH	CH30	13047	23.2656	116.054	10073728	20200205053000	https://www.dailysabah.com/europe/2020/02/04/uk-urges-citizens-in-china-to-leave-over-coronavirus-concerns-belgium-announces-first-case
903848074	20200205	202002	2020	2020.0959	FRA	FRANCE	FRA																		1	111	111	11	3	-2.0	4	1	4	3.68474923234391	4	Mont Ventoux, France (general), France	FR	FR00	16328	44.1767	5.27889	-1475459	0								4	Mont Ventoux, France (general), France	FR	FR00	16328	44.1767	5.27889	-1475459	20200205053000	https://triblive.com/lifestyles/food-drink/top-tips-from-the-wine-cellar-4-to-try-from-frances-ventoux-region/
903848075	20200205	202002	2020	2020.0959	FRA	FRANCE	FRA																		0	114	114	11	3	-2.0	4	1	4	-0.17683465959328	1	France	FR	FR		46	2	FR	0								1	France	FR	FR		46	2	FR	20200205053000	https://www.huffingtonpost.in/entry/mary-higgins-clark-passes-away_in_5e34fadfc5b6f262332981ba
903848076	20200205	202002	2020	2020.0959	FRA	FRANCE	FRA								AFR	AFRICA	AFR								0	026	026	02	1	4.0	6	1	6	2.34567901234568	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20200205053000	https://www.ecofinagency.com/public-management/0502-40934-makesense-africa-launches-city-lab-in-senegal-to-co-create-more-sustainable-african-cities
903848077	20200205	202002	2020	2020.0959	FRA	FRANCE	FRA								AFR	AFRICA	AFR								0	040	040	04	1	1.0	6	1	6	2.34567901234568	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20200205053000	https://www.ecofinagency.com/public-management/0502-40934-makesense-africa-launches-city-lab-in-senegal-to-co-create-more-sustainable-african-cities
903848078	20200205	202002	2020	2020.0959	FRA	FRANCE	FRA								CHN	CHINA	CHN								1	010	010	01	1	0.0	2	1	2	-2.73381294964029	1	France	FR	FR		46	2	FR	4	Hubei, Guangdong, China	CH	CH30	13047	23.2656	116.054	10073728	1	France	FR	FR		46	2	FR	20200205053000	https://www.dailysabah.com/europe/2020/02/04/uk-urges-citizens-in-china-to-leave-over-coronavirus-concerns-belgium-announces-first-case
903848079	20200205	202002	2020	2020.0959	FRA	FRANCE	FRA								CHN	CHINA	CHN								1	042	042	04	1	1.9	2	1	2	-2.73381294964029	1	France	FR	FR		46	2	FR	4	Hubei, Guangdong, China	CH	CH30	13047	23.2656	116.054	10073728	4	Hubei, Guangdong, China	CH	CH30	13047	23.2656	116.054	10073728	20200205053000	https://www.dailysabah.com/europe/2020/02/04/uk-urges-citizens-in-china-to-leave-over-coronavirus-concerns-belgium-announces-first-case
903848080	20200205	202002	2020	2020.0959	FRA	FRANCE	FRA								CHN	CHINA	CHN								1	130	130	13	3	-4.4	2	1	2	-2.73381294964029	1	France	FR	FR		46	2	FR	4	Hubei, Guangdong, China	CH	CH30	13047	23.2656	116.054	10073728	1	France	FR	FR		46	2	FR	20200205053000	https://www.dailysabah.com/europe/2020/02/04/uk-urges-citizens-in-china-to-leave-over-coronavirus-concerns-belgium-announces-first-case
