904206243	20190206	201902	2019	2019.0986	GBRUAF	UNITED KINGDOM	GBR					UAF			MED	JOURNALIST						MED			1	190	190	19	4	-10.0	4	1	4	-1.55763239875389	4	Londonderry, Derry, United Kingdom	UK	UKS6	18287	55	-7.33333	-2601896	4	Londonderry, Derry, United Kingdom	UK	UKS6	18287	55	-7.33333	-2601896	4	Londonderry, Derry, United Kingdom	UK	UKS6	18287	55	-7.33333	-2601896	20200206141500	https://www.londonderrysentinel.co.uk/news/crime/police-attempt-to-unlock-mystery-of-badly-decomposed-body-of-woman-washed-up-on-beach-in-2017-1-9225360
904206244	20190206	201902	2019	2019.0986	IRN	IRAN	IRN								AFG	AFGHAN	AFG								0	043	043	04	1	2.8	2	1	2	-4.98633879781421	4	Zaranj, Nimruz, Afghanistan	AF	AF19	3675	30.9667	61.8833	-3396598	1	Iran	IR	IR		32	53	IR	4	Zaranj, Nimruz, Afghanistan	AF	AF19	3675	30.9667	61.8833	-3396598	20200206141500	https://www.thenewhumanitarian.org/news/2020/02/06/returns-migration-refugees-Afghanistan-Iran
904206245	20190206	201902	2019	2019.0986	IRN	IRAN	IRN								AFG	AFGHAN	AFG								0	043	043	04	1	2.8	5	1	5	-4.98633879781421	1	Iran	IR	IR		32	53	IR	4	Zaranj, Nimruz, Afghanistan	AF	AF19	3675	30.9667	61.8833	-3396598	1	Iran	IR	IR		32	53	IR	20200206141500	https://www.thenewhumanitarian.org/news/2020/02/06/returns-migration-refugees-Afghanistan-Iran
904206246	20190206	201902	2019	2019.0986	LEG	LAWMAKER						LEG													1	129	129	12	3	-5.0	6	1	6	-2.80583613916947	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	0								3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	20200206141500	https://www.somdnews.com/enquirer_gazette/spotlight/lawmakers-override-several-bills-hogan-vetoed-last-year/article_1215928e-cd32-5915-b9ac-1f55971d01de.html
904206247	20190206	201902	2019	2019.0986	LEG	LAWMAKER						LEG			USA	UNITED STATES	USA								1	129	129	12	3	-5.0	4	1	4	-2.80583613916947	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	20200206141500	https://www.somdnews.com/enquirer_gazette/spotlight/lawmakers-override-several-bills-hogan-vetoed-last-year/article_1215928e-cd32-5915-b9ac-1f55971d01de.html
904206248	20190206	201902	2019	2019.0986	MAR	MOROCCAN	MAR								MARMED	MOROCCO	MAR					MED			0	173	173	17	4	-5.0	4	1	4	-4.86842105263158	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	20200206141500	https://www.standard.co.uk/lifestyle/books/book-of-the-week-sex-and-lies-by-le-la-slimani-a4355561.html
904206249	20190206	201902	2019	2019.0986	MARMED	MOROCCAN	MAR					MED													0	173	173	17	4	-5.0	6	1	6	-4.86842105263158	1	Morocco	MO	MO		32	-5	MO	0								1	Morocco	MO	MO		32	-5	MO	20200206141500	https://www.standard.co.uk/lifestyle/books/book-of-the-week-sex-and-lies-by-le-la-slimani-a4355561.html
904206250	20190206	201902	2019	2019.0986	SDN	SUDAN	SDN								SDNELI	SUDAN	SDN					ELI			0	114	114	11	3	-2.0	2	1	2	-3.24543610547667	4	Darfur, Gharb Darfur, Sudan	SU	SU47	37140	13.5	23.5	-17505	4	Darfur, Gharb Darfur, Sudan	SU	SU47	37140	13.5	23.5	-17505	4	Darfur, Gharb Darfur, Sudan	SU	SU47	37140	13.5	23.5	-17505	20200206141500	https://www.dailysabah.com/africa/2020/02/06/more-details-of-uaes-sudanese-youth-recruitment-revealed
904206251	20190206	201902	2019	2019.0986	SDN	SUDAN	SDN								SDNGOV	OMAR AL BASHIR	SDN					GOV			0	114	114	11	3	-2.0	8	1	8	-3.24543610547667	4	Darfur, Gharb Darfur, Sudan	SU	SU47	37140	13.5	23.5	-17505	4	Darfur, Gharb Darfur, Sudan	SU	SU47	37140	13.5	23.5	-17505	4	Darfur, Gharb Darfur, Sudan	SU	SU47	37140	13.5	23.5	-17505	20200206141500	https://www.dailysabah.com/africa/2020/02/06/more-details-of-uaes-sudanese-youth-recruitment-revealed
904206252	20190206	201902	2019	2019.0986	TWN	TAIWAN	TWN								JPN	JAPAN	JPN								1	060	060	06	2	6.0	10	1	10	1.79372197309417	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20200206141500	https://www.freshplaza.com/article/9187587/first-lettuce-shipment-from-taiwan-to-saudi-arabia/
904206253	20190206	201902	2019	2019.0986	TWN	TAIWAN	TWN								JPN	JAPAN	JPN								1	061	061	06	2	6.4	10	1	10	1.79372197309417	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	1	Japan	JA	JA		36	138	JA	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20200206141500	https://www.freshplaza.com/article/9187587/first-lettuce-shipment-from-taiwan-to-saudi-arabia/
904206254	20190206	201902	2019	2019.0986	UAF	GUNMAN						UAF			MED	JOURNALIST						MED			1	190	190	19	4	-10.0	4	1	4	-1.55763239875389	4	Londonderry, Derry, United Kingdom	UK	UKS6	18287	55	-7.33333	-2601896	4	Londonderry, Derry, United Kingdom	UK	UKS6	18287	55	-7.33333	-2601896	4	Londonderry, Derry, United Kingdom	UK	UKS6	18287	55	-7.33333	-2601896	20200206141500	https://www.londonderrysentinel.co.uk/news/crime/police-attempt-to-unlock-mystery-of-badly-decomposed-body-of-woman-washed-up-on-beach-in-2017-1-9225360
