GlobalEventID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	Dateadded	Sourceurl
903945414	20200205	202002	2020	2020.0959	GBR	UNITED KINGDOM	GBR								MIL	AIRCRAFT CARRIER						MIL			1	036	036	03	1	4.0	10	1	10	-1	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20200205143000	https://www.ship-technology.com/uncategorised/newsboskalis-westminster-to-dredge-portsmouth-harbour-in-uk-4612507/
903945415	20200205	202002	2020	2020.0959	GBR	LONDON	GBR								NGOENVOPP	GREENPEACE						NGO	ENV	OPP	1	043	043	04	1	2.8	10	1	10	-6.2015503875969	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200205143000	https://serbiananimalsvoice.com/2020/02/05/5-2-20-london-activists-welcome-new-bp-ceo-by-delivering-5oo-solar-panels-and-shutting-the-hq-down/
903945416	20200205	202002	2020	2020.0959	GBR	BRITISH	GBR								OPP	PRISONER						OPP			0	015	015	01	1	0.0	4	1	4	-9.90873533246419	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200205143000	https://www.investigativeproject.org/8289/uk-scrambles-for-sentencing-reforms-after-another
903945417	20200205	202002	2020	2020.0959	GBR	UNITED KINGDOM	GBR								ROU	ROMANIA									0	120	120	12	3	-4.0	2	1	2	-4.6474358974359	5	Lincolnshire, Lincolnshire, United Kingdom	UK	UKH7	40120	53.1667	-0.25	-2601145	5	Lincolnshire, Lincolnshire, United Kingdom	UK	UKH7	40120	53.1667	-0.25	-2601145	5	Lincolnshire, Lincolnshire, United Kingdom	UK	UKH7	40120	53.1667	-0.25	-2601145	20200205143000	https://thelincolnite.co.uk/2020/02/branston-murder-suspects-brother-says-double-killing-was-a-nightmare/
903945418	20200205	202002	2020	2020.0959	GBR	UNITED KINGDOM	GBR								ROU	ROMANIA									0	120	120	12	3	-4.0	2	1	2	-4.6474358974359	5	Lincolnshire, Lincolnshire, United Kingdom	UK	UKH7	40120	53.1667	-0.25	-2601145	1	Romania	RO	RO		46	25	RO	5	Lincolnshire, Lincolnshire, United Kingdom	UK	UKH7	40120	53.1667	-0.25	-2601145	20200205143000	https://thelincolnite.co.uk/2020/02/branston-murder-suspects-brother-says-double-killing-was-a-nightmare/
903945419	20200205	202002	2020	2020.0959	GBR	UNITED KINGDOM	GBR								RUS	RUSSIAN	RUS								1	010	010	01	1	0.0	4	1	4	-0.22641509433962	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	1	Russia	RS	RS		60	100	RS	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200205143000	https://www.drapersonline.com/news/facial-recognition-big-brother-or-ultimate-convenience/7039368.article?blocktitle=News-analysis&contentID=21124
903945420	20200205	202002	2020	2020.0959	GBR	UNITED KINGDOM	GBR								RUSBUS	RUSSIAN	RUS					BUS			1	010	010	01	1	0.0	6	1	6	-0.22641509433962	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	1	Russia	RS	RS		60	100	RS	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200205143000	https://www.drapersonline.com/news/facial-recognition-big-brother-or-ultimate-convenience/7039368.article?blocktitle=News-analysis&contentID=21124
903945421	20200205	202002	2020	2020.0959	GBR	UNITED KINGDOM	GBR								UAF	TERRORIST						UAF			1	010	010	01	1	0.0	10	1	10	-9.90873533246419	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20200205143000	https://www.investigativeproject.org/8289/uk-scrambles-for-sentencing-reforms-after-another
903945422	20200205	202002	2020	2020.0959	GBR	UNITED KINGDOM	GBR								UAF	TERRORIST						UAF			1	084	084	08	2	7.0	10	1	10	-9.90873533246419	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20200205143000	https://www.investigativeproject.org/8289/uk-scrambles-for-sentencing-reforms-after-another
903945423	20200205	202002	2020	2020.0959	GBR	UNITED KINGDOM	GBR								UAF	TERRORIST						UAF			0	173	173	17	4	-5.0	2	1	2	-6.64172123479888	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20200205143000	https://www.dailymail.co.uk/news/article-7969571/Scotland-Yard-Assistant-Commissioner-Neil-Basu-admits-force-track-3-000-suspects-radar.html
903945424	20200205	202002	2020	2020.0959	GBR	LONDON	GBR								UAFOPP	TERRORIST						UAF	OPP		0	1823	182	18	4	-10.0	6	1	6	-6.64172123479888	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200205143000	https://www.dailymail.co.uk/news/article-7969571/Scotland-Yard-Assistant-Commissioner-Neil-Basu-admits-force-track-3-000-suspects-radar.html
903945425	20200205	202002	2020	2020.0959	GBR	UNITED KINGDOM	GBR								VCT	ST VINCENT	VCT								0	036	036	03	1	4.0	16	1	8	-4.37665782493369	4	Windrush, Gloucestershire, United Kingdom	UK	UKE6	40109	51.8	-1.71667	-2611827	4	Windrush, Gloucestershire, United Kingdom	UK	UKE6	40109	51.8	-1.71667	-2611827	4	Windrush, Gloucestershire, United Kingdom	UK	UKE6	40109	51.8	-1.71667	-2611827	20200205143000	https://www.independent.co.uk/news/uk/politics/boris-johnson-deport-caribbean-flight-windrush-scandal-immigration-a9319336.html
903945426	20200205	202002	2020	2020.0959	GBR	UNITED KINGDOM	GBR								VCT	ST VINCENT	VCT								0	120	120	12	3	-4.0	20	1	10	-4.37665782493369	4	Windrush, Gloucestershire, United Kingdom	UK	UKE6	40109	51.8	-1.71667	-2611827	4	Windrush, Gloucestershire, United Kingdom	UK	UKE6	40109	51.8	-1.71667	-2611827	4	Windrush, Gloucestershire, United Kingdom	UK	UKE6	40109	51.8	-1.71667	-2611827	20200205143000	https://www.independent.co.uk/news/uk/politics/boris-johnson-deport-caribbean-flight-windrush-scandal-immigration-a9319336.html
903945427	20200205	202002	2020	2020.0959	GBR	SCOTLAND	GBR								sco	SCOTTISH			sco						0	036	036	03	1	4.0	7	1	7	-1.43338954468802	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200205143000	https://www.tasnimnews.com/en/news/2020/02/05/2196715/uk-ought-to-find-stable-trade-partners-avoid-reliance-on-trump-journalist-says
903945428	20200205	202002	2020	2020.0959	GBRBUS	BRITISH	GBR					BUS			GBR	LONDON	GBR								1	042	042	04	1	1.9	3	1	3	-0.775193798449608	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200205143000	https://www.foxnews.com/world/british-bodyguard-for-david-cameron-reportedly-leaves-gun-inside-plane-bathroom
903945429	20200205	202002	2020	2020.0959	GBRCVL	UNITED KINGDOM	GBR					CVL			GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	8	1	8	-3.33333333333333	4	Benfleet, Essex, United Kingdom	UK	UKE4	40108	51.5333	0.55	-2608175	4	Benfleet, Essex, United Kingdom	UK	UKE4	40108	51.5333	0.55	-2608175	4	Benfleet, Essex, United Kingdom	UK	UKE4	40108	51.5333	0.55	-2608175	20200205143000	https://www.clactonandfrintongazette.co.uk/news/south_essex_news/18212586.police-discover-chinese-worker-immigration-raid/
